Date;Week;Day;Holiday
1-1-2010;1;6;1
2-1-2010;1;7;1
3-1-2010;2;1;1
4-1-2010;2;2;0
5-1-2010;2;3;0
6-1-2010;2;4;0
7-1-2010;2;5;0
8-1-2010;2;6;0
9-1-2010;2;7;0
10-1-2010;3;1;0
11-1-2010;3;2;0
12-1-2010;3;3;0
13-1-2010;3;4;0
14-1-2010;3;5;0
15-1-2010;3;6;0
16-1-2010;3;7;0
17-1-2010;4;1;0
18-1-2010;4;2;0
19-1-2010;4;3;0
20-1-2010;4;4;0
21-1-2010;4;5;0
22-1-2010;4;6;0
23-1-2010;4;7;0
24-1-2010;5;1;0
25-1-2010;5;2;0
26-1-2010;5;3;0
27-1-2010;5;4;0
28-1-2010;5;5;0
29-1-2010;5;6;0
30-1-2010;5;7;0
31-1-2010;6;1;0
1-2-2010;6;2;0
2-2-2010;6;3;0
3-2-2010;6;4;0
4-2-2010;6;5;0
5-2-2010;6;6;0
6-2-2010;6;7;0
7-2-2010;7;1;0
8-2-2010;7;2;0
9-2-2010;7;3;0
10-2-2010;7;4;0
11-2-2010;7;5;0
12-2-2010;7;6;0
13-2-2010;7;7;0
14-2-2010;8;1;0
15-2-2010;8;2;0
16-2-2010;8;3;0
17-2-2010;8;4;0
18-2-2010;8;5;0
19-2-2010;8;6;0
20-2-2010;8;7;1
21-2-2010;9;1;1
22-2-2010;9;2;1
23-2-2010;9;3;1
24-2-2010;9;4;1
25-2-2010;9;5;1
26-2-2010;9;6;1
27-2-2010;9;7;1
28-2-2010;10;1;1
1-3-2010;10;2;0
2-3-2010;10;3;0
3-3-2010;10;4;0
4-3-2010;10;5;0
5-3-2010;10;6;0
6-3-2010;10;7;0
7-3-2010;11;1;0
8-3-2010;11;2;0
9-3-2010;11;3;0
10-3-2010;11;4;0
11-3-2010;11;5;0
12-3-2010;11;6;0
13-3-2010;11;7;0
14-3-2010;12;1;0
15-3-2010;12;2;0
16-3-2010;12;3;0
17-3-2010;12;4;0
18-3-2010;12;5;0
19-3-2010;12;6;0
20-3-2010;12;7;0
21-3-2010;13;1;0
22-3-2010;13;2;0
23-3-2010;13;3;0
24-3-2010;13;4;0
25-3-2010;13;5;0
26-3-2010;13;6;0
27-3-2010;13;7;0
28-3-2010;14;1;0
29-3-2010;14;2;0
30-3-2010;14;3;0
31-3-2010;14;4;0
1-4-2010;14;5;0
2-4-2010;14;6;0
3-4-2010;14;7;0
4-4-2010;15;1;0
5-4-2010;15;2;0
6-4-2010;15;3;0
7-4-2010;15;4;0
8-4-2010;15;5;0
9-4-2010;15;6;0
10-4-2010;15;7;0
11-4-2010;16;1;0
12-4-2010;16;2;0
13-4-2010;16;3;0
14-4-2010;16;4;0
15-4-2010;16;5;0
16-4-2010;16;6;0
17-4-2010;16;7;0
18-4-2010;17;1;0
19-4-2010;17;2;0
20-4-2010;17;3;0
21-4-2010;17;4;0
22-4-2010;17;5;0
23-4-2010;17;6;0
24-4-2010;17;7;0
25-4-2010;18;1;0
26-4-2010;18;2;0
27-4-2010;18;3;0
28-4-2010;18;4;0
29-4-2010;18;5;0
30-4-2010;18;6;1
1-5-2010;18;7;1
2-5-2010;19;1;1
3-5-2010;19;2;1
4-5-2010;19;3;1
5-5-2010;19;4;1
6-5-2010;19;5;1
7-5-2010;19;6;1
8-5-2010;19;7;1
9-5-2010;20;1;1
10-5-2010;20;2;0
11-5-2010;20;3;0
12-5-2010;20;4;0
13-5-2010;20;5;0
14-5-2010;20;6;0
15-5-2010;20;7;0
16-5-2010;21;1;0
17-5-2010;21;2;0
18-5-2010;21;3;0
19-5-2010;21;4;0
20-5-2010;21;5;0
21-5-2010;21;6;0
22-5-2010;21;7;0
23-5-2010;22;1;0
24-5-2010;22;2;0
25-5-2010;22;3;0
26-5-2010;22;4;0
27-5-2010;22;5;0
28-5-2010;22;6;0
